"Registration";"Lfz.-Muster/Typ";"Hersteller - Eigentümer/Halter"
"HB-BYZ";"N-120";"CAMERON BALLOONS LTD."
"HB-BZH";"BFB 1050";"BALLONFABRIK BRONSCHHOFEN AG"
"HB-BZK";"N-120";"CAMERON BALLOONS LTD."
"HB-BZM";"105A";"THUNDER & COLT LTD."
"HB-BZU";"RX-9";"MANUFACTURE FRANCAISE DE MONTGOLFIÈRES"
"HB-BZY";"FIREFLY 11";"THE BALLOON WORKS (TBW)"
"HB-CAB";"140";"CESSNA AIRCRAFT COMPANY"
"HB-CAG";"140";"CESSNA AIRCRAFT COMPANY"
"HB-CAJ";"140";"CESSNA AIRCRAFT COMPANY"
"HB-CAO";"170";"CESSNA AIRCRAFT COMPANY"
"HB-CAX";"170A";"CESSNA AIRCRAFT COMPANY"
"HB-CBA";"150D";"CESSNA AIRCRAFT COMPANY"
"HB-CBF";"F150F";"REIMS AVIATION S.A."
"HB-CBK";"F150F";"REIMS AVIATION S.A."
"HB-CBX";"F150G";"REIMS AVIATION S.A."
"HB-CCA";"FR172K";"REIMS AVIATION S.A."
"HB-CCD";"F152";"REIMS AVIATION S.A."
"HB-CCN";"F152";"REIMS AVIATION S.A."
"HB-CCO";"F172N";"REIMS AVIATION S.A."
"HB-CCQ";"172S";"CESSNA AIRCRAFT COMPANY"
"HB-CCR";"T210N";"CESSNA AIRCRAFT COMPANY"
"HB-CCT";"F172N";"REIMS AVIATION S.A."
"HB-CCV";"F172M";"REIMS AVIATION S.A."
"HB-CDB";"F150L";"REIMS AVIATION S.A."
"HB-CDC";"F172M";"REIMS AVIATION S.A."
"HB-CDE";"F177RG";"REIMS AVIATION S.A."
"HB-CDF";"F172M";"REIMS AVIATION S.A."
"HB-CDH";"F150L";"REIMS AVIATION S.A."
"HB-CDL";"F172M";"REIMS AVIATION S.A."
"HB-CDN";"F172H";"REIMS AVIATION S.A."
"HB-CDP";"F150L";"REIMS AVIATION S.A."
"HB-CDR";"F150L";"REIMS AVIATION S.A."
"HB-CDS";"F172M";"REIMS AVIATION S.A."
"HB-CDU";"182P";"CESSNA AIRCRAFT COMPANY"
"HB-CEC";"182P";"CESSNA AIRCRAFT COMPANY"
"HB-CED";"F177RG";"REIMS AVIATION S.A."
"HB-CEE";"F150L";"REIMS AVIATION S.A."
"HB-CEU";"F172L";"REIMS AVIATION S.A."
"HB-CFA";"F152";"REIMS AVIATION S.A."
"HB-CFB";"172RG";"CESSNA AIRCRAFT COMPANY"
"HB-CFF";"F152";"REIMS AVIATION S.A."
"HB-CFH";"F152";"REIMS AVIATION S.A."
"HB-CFN";"F172P";"REIMS AVIATION S.A."
"HB-CFO";"172RG";"CESSNA AIRCRAFT COMPANY"
"HB-CFR";"F172P";"REIMS AVIATION S.A."
"HB-CFT";"F172P";"REIMS AVIATION S.A."
"HB-CFW";"F152";"REIMS AVIATION S.A."
"HB-CFY";"F172M";"REIMS AVIATION S.A."
"HB-CFZ";"TR182";"CESSNA AIRCRAFT COMPANY"
"HB-CGB";"F172P";"REIMS AVIATION S.A."
"HB-CGF";"F172P";"REIMS AVIATION S.A."
"HB-CGI";"F172P";"REIMS AVIATION S.A."
"HB-CGK";"152";"CESSNA AIRCRAFT COMPANY"
"HB-CGM";"F177RG";"REIMS AVIATION S.A."
"HB-CGN";"F172P";"REIMS AVIATION S.A."
"HB-CGS";"172RG";"CESSNA AIRCRAFT COMPANY"
"HB-CGW";"U206G";"CESSNA AIRCRAFT COMPANY"
"HB-CHA";"F152";"REIMS AVIATION S.A."
"HB-CHJ";"P210N";"CESSNA AIRCRAFT COMPANY"
"HB-CHS";"182R";"CESSNA AIRCRAFT COMPANY"
"HB-CHV";"F152";"REIMS AVIATION S.A."
"HB-CHX";"F172P";"REIMS AVIATION S.A."
"HB-CHY";"F172M";"REIMS AVIATION S.A."
"HB-CHZ";"210L";"CESSNA AIRCRAFT COMPANY"
"HB-CIA";"F172P";"REIMS AVIATION S.A."
"HB-CIE";"F172P";"REIMS AVIATION S.A."
"HB-CIO";"F172P";"REIMS AVIATION S.A."
"HB-CIP";"F172P";"REIMS AVIATION S.A."
"HB-CIR";"182Q";"CESSNA AIRCRAFT COMPANY"
"HB-CIS";"172N";"CESSNA AIRCRAFT COMPANY"
"HB-CIT";"F172P";"REIMS AVIATION S.A."
"HB-CIU";"FR172J";"REIMS AVIATION S.A."
"HB-CIV";"182R";"CESSNA AIRCRAFT COMPANY"
"HB-CIX";"F152";"REIMS AVIATION S.A."
"HB-CIY";"F152";"REIMS AVIATION S.A."
"HB-CJQ";"172N";"CESSNA AIRCRAFT COMPANY"
"HB-CJW";"152";"CESSNA AIRCRAFT COMPANY"
"HB-CKA";"170A";"CESSNA AIRCRAFT COMPANY"
"HB-CKB";"182P";"CESSNA AIRCRAFT COMPANY"
"HB-CKG";"F172P";"REIMS AVIATION S.A."
"HB-CKH";"P210N";"CESSNA AIRCRAFT COMPANY"
"HB-CKS";"F152";"REIMS AVIATION S.A."
"HB-CKT";"172RG";"CESSNA AIRCRAFT COMPANY"
"HB-CKU";"F172P";"REIMS AVIATION S.A."
"HB-CKV";"TR182";"CESSNA AIRCRAFT COMPANY"
"HB-CLA";"R182";"CESSNA AIRCRAFT COMPANY"
"HB-CLE";"F182Q";"REIMS AVIATION S.A."
"HB-CLH";"172P";"CESSNA AIRCRAFT COMPANY"
"HB-CLJ";"F177RG";"REIMS AVIATION S.A."
"HB-CLP";"172P";"CESSNA AIRCRAFT COMPANY"
"HB-CLS";"172P";"CESSNA AIRCRAFT COMPANY"
"HB-CLU";"R182";"CESSNA AIRCRAFT COMPANY"
"HB-CMC";"175";"CESSNA AIRCRAFT COMPANY"
"HB-CMS";"150D";"CESSNA AIRCRAFT COMPANY"
"HB-CMZ";"182H";"CESSNA AIRCRAFT COMPANY"
"HB-CNF";"F172H";"REIMS AVIATION S.A."
"HB-CNI";"F152";"REIMS AVIATION S.A."
"HB-CNK";"F152";"REIMS AVIATION S.A."
"HB-CNM";"177RG";"CESSNA AIRCRAFT COMPANY"
"HB-CNN";"TR182";"CESSNA AIRCRAFT COMPANY"
"HB-CNS";"F152";"REIMS AVIATION S.A."
"HB-CNY";"F172N";"REIMS AVIATION S.A."
"HB-COE";"180";"CESSNA AIRCRAFT COMPANY"
"HB-COR";"140A";"CESSNA AIRCRAFT COMPANY"
"HB-CPP";"172";"CESSNA AIRCRAFT COMPANY"
"HB-CQB";"A185F";"CESSNA AIRCRAFT COMPANY"
"HB-CQF";"172M";"CESSNA AIRCRAFT COMPANY"
"HB-CQL";"172P";"CESSNA AIRCRAFT COMPANY"
"HB-CQM";"172N";"CESSNA AIRCRAFT COMPANY"
"HB-CQN";"150L";"CESSNA AIRCRAFT COMPANY"
"HB-CQO";"150L";"CESSNA AIRCRAFT COMPANY"
"HB-CQP";"182S";"CESSNA AIRCRAFT COMPANY"
"HB-CQR";"172R";"CESSNA AIRCRAFT COMPANY"
"HB-CQS";"P210N";"CESSNA AIRCRAFT COMPANY"
"HB-CQU";"182Q";"CESSNA AIRCRAFT COMPANY"
"HB-CQW";"172S";"CESSNA AIRCRAFT COMPANY"
"HB-CQZ";"182S";"CESSNA AIRCRAFT COMPANY"
"HB-CRD";"172";"CESSNA AIRCRAFT COMPANY"
"HB-CRL";"175A";"CESSNA AIRCRAFT COMPANY"
"HB-CRM";"175B";"CESSNA AIRCRAFT COMPANY"
"HB-CRR";"150B";"CESSNA AIRCRAFT COMPANY"
"HB-CRS";"172C";"CESSNA AIRCRAFT COMPANY"
"HB-CRY";"175";"CESSNA AIRCRAFT COMPANY"
"HB-CRZ";"182E";"CESSNA AIRCRAFT COMPANY"
"HB-CSD";"F150G";"REIMS AVIATION S.A."
"HB-CSF";"F150G";"REIMS AVIATION S.A."
"HB-CSS";"210F";"CESSNA AIRCRAFT COMPANY"
"HB-CSZ";"F150H";"REIMS AVIATION S.A."
"HB-CTF";"F150H";"REIMS AVIATION S.A."
"HB-CUE";"182M";"CESSNA AIRCRAFT COMPANY"
"HB-CUZ";"F150K";"REIMS AVIATION S.A."
"HB-CVD";"F150L";"REIMS AVIATION S.A."
"HB-CVI";"F177RG";"REIMS AVIATION S.A."
"HB-CVL";"FA150K";"REIMS AVIATION S.A."
"HB-CVM";"F172K";"REIMS AVIATION S.A."
"HB-CVU";"F172K";"REIMS AVIATION S.A."
"HB-CVZ";"F150J";"REIMS AVIATION S.A."
"HB-CWA";"FRA150L";"REIMS AVIATION S.A."
"HB-CWE";"F172L";"REIMS AVIATION S.A."
"HB-CWN";"182P";"CESSNA AIRCRAFT COMPANY"
"HB-CWR";"F150L";"REIMS AVIATION S.A."
"HB-CWX";"182P";"CESSNA AIRCRAFT COMPANY"
"HB-CWY";"182P";"CESSNA AIRCRAFT COMPANY"
"HB-CXA";"177B";"CESSNA AIRCRAFT COMPANY"
"HB-CXN";"F150M";"REIMS AVIATION S.A."
"HB-CXV";"F152";"REIMS AVIATION S.A."
"HB-CXW";"F152";"REIMS AVIATION S.A."
"HB-CXZ";"F172N";"REIMS AVIATION S.A."
"HB-CYF";"F152";"REIMS AVIATION S.A."
"HB-CYH";"172P";"CESSNA AIRCRAFT COMPANY"
"HB-CYJ";"P210R";"CESSNA AIRCRAFT COMPANY"
"HB-CYK";"TU206G";"CESSNA AIRCRAFT COMPANY"
"HB-CYM";"182S";"CESSNA AIRCRAFT COMPANY"
"HB-CYP";"F152";"REIMS AVIATION S.A."
"HB-CYT";"F172M";"REIMS AVIATION S.A."
"HB-CYU";"172S";"CESSNA AIRCRAFT COMPANY"
"HB-CYX";"152";"CESSNA AIRCRAFT COMPANY"
"HB-CYZ";"LC41-550FG";"COLUMBIA AIRCRAFT MANUFACTURING"
"HB-CZB";"P210N";"CESSNA AIRCRAFT COMPANY"
"HB-CZG";"T206H";"CESSNA AIRCRAFT COMPANY"
"HB-CZH";"170B";"CESSNA AIRCRAFT COMPANY"
"HB-CZM";"T182T";"CESSNA AIRCRAFT COMPANY"
"HB-CZN";"T210N";"CESSNA AIRCRAFT COMPANY"
"HB-CZO";"172S";"CESSNA AIRCRAFT COMPANY"
"HB-CZS";"T182T";"CESSNA AIRCRAFT COMPANY"
"HB-CZU";"182S";"CESSNA AIRCRAFT COMPANY"
"HB-CZV";"182S";"CESSNA AIRCRAFT COMPANY"
"HB-CZW";"T182T";"CESSNA AIRCRAFT COMPANY"
"HB-CZX";"T182T";"CESSNA AIRCRAFT COMPANY"
"HB-CZY";"T206H";"CESSNA AIRCRAFT COMPANY"
"HB-CZZ";"182T";"CESSNA AIRCRAFT COMPANY"
"HB-DAI";"NORD 1203 II";"SNCAN (SOCIÉTÉ NATIONALE DE CONSTRUCTIONS AÉRONAUTIQUES DU NORD)"
"HB-DBF";"R 90-230 RG";"RUSCHMEYER-LUFTFAHRTTECHNIK GMBH"
"HB-DBI";"R 90-230 RG";"ATC AIRCRAFT TECHNOLOGY CENTER"
"HB-DCB";"WA 40A";"SOCIETE WASSMER AVIATION"
"HB-DCE";"WA 4/21";"SOCIETE WASSMER AVIATION"
"HB-DCF";"GARDAN GY-80-160";"SUD-AVIATION"
"HB-DCQ";"GARDAN GY-80-160";"SUD-AVIATION"
"HB-DCR";"2150A";"VARGA AIRCRAFT CORPORATION"
"HB-DCU";"2180";"VARGA AIRCRAFT CORPORATION"
"HB-DCZ";"CE 43";"CONSORTIUM EUROPEÉN DE RÉALISATION ET DE VENTES D'AVIONS GIE (CERVA)"
"HB-DED";"M20E";"MOONEY AIRCRAFT INC."
"HB-DEN";"M20E";"MOONEY AIRCRAFT INC."
"HB-DET";"M20E";"MOONEY AIRCRAFT INC."
"HB-DEV";"M20F";"MOONEY AIRCRAFT INC."
"HB-DEZ";"M20F";"MOONEY AIRCRAFT INC."
"HB-DFA";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DFF";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DFK";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DFM";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DFN";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DFO";"M20K";"MOONEY AIRCRAFT CORPORATION"
"HB-DFU";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DFZ";"M20K";"MOONEY AIRCRAFT CORPORATION"
"HB-DGC";"M20K";"MOONEY AIRCRAFT CORPORATION"
"HB-DGE";"M20K";"MOONEY AIRCRAFT CORPORATION"
"HB-DGG";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DGI";"M20K";"MOONEY AIRCRAFT CORPORATION"
"HB-DGM";"M20K";"MOONEY AIRCRAFT CORPORATION"
"HB-DGN";"M20K";"MOONEY AIRCRAFT CORPORATION"
"HB-DGP";"2180";"VARGA AIRCRAFT CORPORATION"
"HB-DGR";"M20K";"MOONEY AIRCRAFT CORPORATION"
"HB-DGV";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DGW";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DHA";"M20K";"MOONEY AIRCRAFT CORPORATION"
"HB-DHH";"M20K";"MOONEY AIRCRAFT CORPORATION"
"HB-DHI";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DHL";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DHP";"M20M";"MOONEY AIRCRAFT CORPORATION"
"HB-DHV";"M20M";"MOONEY AIRCRAFT CORPORATION"
"HB-DHW";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DHZ";"M20M";"MOONEY AIRCRAFT CORPORATION"
"HB-DIA";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DIB";"M20M";"MOONEY AIRCRAFT CORPORATION"
"HB-DIC";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DIE";"M20R";"MOONEY AIRCRAFT CORPORATION"
"HB-DIF";"M20M";"MOONEY AIRCRAFT CORPORATION"
"HB-DIH";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DII";"M20R";"MOONEY AIRCRAFT CORPORATION"
"HB-DIK";"M20J";"MOONEY AIRCRAFT CORPORATION"
"HB-DIL";"M20R";"MOONEY AIRCRAFT CORPORATION"
"HB-DIO";"M20R";"MOONEY AIRCRAFT CORPORATION"
"HB-DIR";"M20M";"MOONEY AIRPLANE COMPANY, INC."
"HB-DJR";"EA 400-500";"EXTRA FLUGZEUGPRODUKTIONS- UND VERTRIEBS- GMBH"
"HB-DUN";"14-13-3";"BELLANCA AIRCRAFT CORPORATION"
"HB-DUP";"M20A";"MOONEY AIRCRAFT INC."
"HB-DUS";"8A";"LUSCOMBE AIRPLANE CORPORATION"
"HB-DUX";"8A";"LUSCOMBE AIRCRAFT CORPORATION"
"HB-DUZ";"GARDAN GY-80-160";"SUD-AVIATION"
"HB-DVG";"M20F";"MOONEY AIRCRAFT INC."
"HB-DVK";"M20F";"MOONEY AIRCRAFT INC."
"HB-DVM";"M20E";"MOONEY AIRCRAFT CORPORATION"
"HB-DVN";"M20E";"MOONEY AIRCRAFT INC."
"HB-DVY";"M22";"MOONEY AIRCRAFT INC."
"HB-DVZ";"M22";"MOONEY AIRCRAFT CORPORATION"
"HB-DWC";"M20C";"MOONEY AIRCRAFT INC."
"HB-DWD";"M20E";"MOONEY AIRCRAFT INC."
"HB-DWF";"8A";"LUSCOMBE AIRPLANE CORPORATION"
"HB-DWI";"M20F";"MOONEY AIRCRAFT CORPORATION"
"HB-EBK";"CEA DR 1050";"CENTRE EST AERONAUTIQUE"
"HB-EBS";"CEA DR 1050";"CENTRE EST AERONAUTIQUE"
"HB-ECD";"B35";"BEECH AIRCRAFT CORPORATION"
"HB-ECX";"B35";"BEECH AIRCRAFT CORPORATION"
"HB-EDB";"ROBIN DR 300/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EDX";"MS 885";"MORANE-SAULNIER"
"HB-EEI";"CEA DR 1050 M1";"CENTRE EST AERONAUTIQUE"
"HB-EEN";"CEA DR 1051 M";"CENTRE EST AERONAUTIQUE"
"HB-EEV";"JODEL DR 250-160";"CENTRE EST AERONAUTIQUE"
"HB-EEW";"CEA DR 1050";"CENTRE EST AERONAUTIQUE"
"HB-EEX";"JODEL DR 250-160";"CENTRE EST AERONAUTIQUE"
"HB-EEZ";"JODEL DR 250-160";"CENTRE EST AERONAUTIQUE"
"HB-EFH";"V35";"BEECH AIRCRAFT CORPORATION"
"HB-EFM";"V35";"BEECH AIRCRAFT CORPORATION"
"HB-EFP";"CEA DR 1050";"CENTRE EST AERONAUTIQUE"
"HB-EFR";"CEA DR 1051";"CENTRE EST AERONAUTIQUE"
"HB-EFS";"CEA DR 220";"CENTRE EST AERONAUTIQUE"
"HB-EFT";"CEA DR 1050 M1";"CENTRE EST AERONAUTIQUE"
"HB-EGF";"D35";"BEECH AIRCRAFT CORPORATION"
"HB-EGO";"F.260D";"SIAI MARCHETTI S.P.A."
"HB-EHJ";"FI 156 C-3 TROP";"GERHARD-FIESELER-WERKE GMBH"
"HB-EHN";"V35B";"BEECH AIRCRAFT CORPORATION"
"HB-EHO";"35-33";"BEECH AIRCRAFT CORPORATION"
"HB-EHS";"C23";"BEECH AIRCRAFT CORPORATION"
"HB-EHW";"C23";"BEECH AIRCRAFT CORPORATION"
"HB-EIJ";"MS 505";"MORANE-SAULNIER"
"HB-EIU";"35-B33";"BEECH AIRCRAFT CORPORATION"
"HB-EIX";"E35";"BEECH AIRCRAFT CORPORATION"
"HB-EIZ";"P35";"BEECH AIRCRAFT CORPORATION"
"HB-EJA";"A36";"BEECH AIRCRAFT CORPORATION"
"HB-EJE";"A36TC";"BEECH AIRCRAFT CORPORATION"
"HB-EJJ";"MS 505";"MORANE-SAULNIER"
"HB-EJO";"F.260D";"SIAI MARCHETTI S.P.A."
"HB-EJV";"35-C33";"BEECH AIRCRAFT CORPORATION"
"HB-EKJ";"F.260D";"SIAI-MARCHETTI"
"HB-EKX";"35-C33A";"BEECH AIRCRAFT CORPORATION"
"HB-ELD";"JOB 15-180/2";"OBERLERCHNERWERKE"
"HB-ELI";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ELJ";"35-C33";"BEECH AIRCRAFT CORPORATION"
"HB-ELO";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ELP";"S.205-20/R";"SIAI MARCHETTI S.P.A."
"HB-EML";"F.260";"SIAI-MARCHETTI"
"HB-EMN";"CEA DR 300/180 R";"CENTRE EST AERONAUTIQUE"
"HB-EMQ";"ROBIN DR 300/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EMR";"JODEL DR 250-160";"CENTRE EST AERONAUTIQUE"
"HB-EMX";"JODEL DR 250-160";"CENTRE EST AERONAUTIQUE"
"HB-EMZ";"CEA DR 221";"CENTRE EST AERONAUTIQUE"
"HB-ENV";"A23-24";"BEECH AIRCRAFT CORPORATION"
"HB-ENX";"A23-19";"BEECH AIRCRAFT CORPORATION"
"HB-EOF";"AUSTER SERIES 5J1";"AUSTER AIRCRAFT LIMITED"
"HB-EOP";"AUSTER MARK 5";"AUSTER AIRCRAFT LIMITED"
"HB-EOW";"AUSTER MARK 5";"TAYLORCRAFT AEROPLANES LTD."
"HB-EPK";"P.64B";"PARTENAVIA COSTRUZIONI AERONAUTICHE S.P.A."
"HB-EPN";"NAVION (L-17A)";"NORTH AMERICAN AVIATION, INC. "
"HB-EPS";"KZ VII-U8";"SKANDINAVISK AERO INDUSTRI A/S"
"HB-EPU";"KZ II";"SKANDINAVISK AERO INDUSTRI A/S"
"HB-EQB";"ROBIN DR 400/180";"AVIONS PIERRE ROBIN S.A."
"HB-EQC";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EQD";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EQG";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EQM";"ROBIN DR 300/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EQV";"ROBIN HR 100/250 TR";"AVIONS PIERRE ROBIN S.A."
"HB-ERB";"415-D";"ENGINEERING & RESEARCH CORPORATION (ERCO)"
"HB-ERH";"415-C";"ENGINEERING & RESEARCH CORPORATION (ERCO)"
"HB-ERJ";"F.260C";"SIAI-MARCHETTI"
"HB-ERO";"24R46A (UC-61K)";"FAIRCHILD ENGINE AND AIRPLANE CORPORATION"
"HB-ERP";"MS 883";"SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES"
"HB-ERQ";"CEA DR 380";"CENTRE EST AERONAUTIQUE"
"HB-ESB";"NAVION (L-17A)";"RYAN AERONAUTICAL COMPANY"
"HB-ESO";"NAVION A (L-17B)";"RYAN AERONAUTICAL COMPANY"
"HB-ETD";"7AC (CONV)";"AERONCA AIRCRAFT CORPORATION"
"HB-ETF";"7AC";"AERONCA AIRCRAFT CORPORATION"
"HB-ETI";"AC4";"ALFRED COMTE, FLUGZEUGBAU"
"HB-ETM";"MS 894 A";"SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES"
"HB-ETN";"M-4-210";"MAULE AIRCRAFT CORPORATION"
"HB-ETR";"M-4-210C";"MAULE AIRCRAFT CORPORATION"
"HB-ETS";"M-4-220C";"MAULE AIRCRAFT CORPORATION"
"HB-EUD";"A.61 SERIES 2";"BEAGLE AIRCRAFT LIMITED"
"HB-EUI";"ROBIN HR 100/200 B";"AVIONS PIERRE ROBIN S.A."
"HB-EUO";"CEA DR 1050 M1";"CENTRE EST AERONAUTIQUE"
"HB-EUP";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EUQ";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EUV";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EUX";"CEA DR 340";"CENTRE EST AERONAUTIQUE"
"HB-EUZ";"JODEL DR 250-160";"CENTRE EST AERONAUTIQUE"
"HB-EVP";"S.208";"SIAI MARCHETTI S.P.A."
"HB-EVQ";"M-5-235C";"MAULE AIRCRAFT CORPORATION"
"HB-EVW";"F.15";"PROCAER S.P.A."
"HB-EVY";"M-5-235C";"MAULE AIRCRAFT CORPORATION"
"HB-EWE";"23";"BEECH AIRCRAFT CORPORATION"
"HB-EWG";"F33A";"BEECH AIRCRAFT CORPORATION"
"HB-EWH";"F33A";"BEECH AIRCRAFT CORPORATION"
"HB-EWQ";"F.260C";"SIAI-MARCHETTI"
"HB-EWY";"RS 180";"SPORTAVIA-PÜTZER GMBH GMBH & CO.KG"
"HB-EXC";"FA-200-180";"FUJI HEAVY INDUSTRIES LTD."
"HB-EXP";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EXQ";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EXT";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EXU";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EXW";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EXX";"R2160";"AVIONS PIERRE ROBIN S.A."
"HB-EYD";"MS 893 E";"SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES"
"HB-EYP";"ROBIN R 1180 T";"AVIONS PIERRE ROBIN S.A."
"HB-EYS";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-EYX";"TB 10";"SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES"
"HB-EZG";"PZL-104 WILGA 35A";"POLSKIE ZAKLADY LOTNICZE SP. Z O. O."
"HB-EZJ";"AUSTER MARK 5";"AUSTER AIRCRAFT LIMITED"
"HB-EZS";"M-5-235C";"MAULE AIRCRAFT CORPORATION"
"HB-EZW";"TB 10";"SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES"
"HB-FCF";"PC-6/B2-H2";"PILATUS FLUGZEUGWERKE AG"
"HB-FDU";"PC-6/B2-H2";"PILATUS FLUGZEUGWERKE AG"
"HB-FHZ";"PC-6/B2-H4";"PILATUS AIRCRAFT LTD."
"HB-FJI";"PC-6/B2-H4";"PILATUS AIRCRAFT LTD."
"HB-FJP";"PC-6/B2-H4";"PILATUS AIRCRAFT LTD."
"HB-FJZ";"PC-6/B2-H2";"PILATUS FLUGZEUGWERKE AG"
"HB-FKC";"PC-6/B2-H4";"PILATUS AIRCRAFT LTD."
"HB-FKH";"PC-6/B2-H4";"PILATUS AIRCRAFT LTD."
"HB-FKL";"PC-6/B2-H4";"PILATUS AIRCRAFT LTD."
"HB-FKM";"PC-6/B2-H4";"PILATUS AIRCRAFT LTD."
"HB-FKP";"PC-6/B2-H4";"PILATUS AIRCRAFT LTD."
"HB-FKT";"PC-6/B2-H4";"PILATUS AIRCRAFT LTD."
"HB-FLA";"PC-6/B2-H4";"PILATUS AIRCRAFT LTD."
"HB-FLB";"PC-6/B2-H4";"PILATUS AIRCRAFT LTD."
"HB-FLH";"PC-6/B2-H4";"PILATUS AIRCRAFT LTD."
"HB-FLI";"PC-6/B2-H4";"PILATUS AIRCRAFT LTD."
"HB-FOG";"PC-12/45";"PILATUS AIRCRAFT LTD."
"HB-FOS";"PC-12/45";"PILATUS AIRCRAFT LTD."
"HB-FOW";"PC-12/45";"PILATUS AIRCRAFT LTD."
"HB-FOZ";"PC-12/45";"PILATUS AIRCRAFT LTD."
"HB-FPC";"PC-12/45";"PILATUS AIRCRAFT LTD."
"HB-FPR";"PC-12/45";"PILATUS AIRCRAFT LTD."
"HB-FPS";"PC-12/45";"PILATUS AIRCRAFT LTD."
"HB-FPT";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FQH18";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FQK18";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FQZ18";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FRB18";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FRC18";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FRD18";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FRE18";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FRF18";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FVA";"PC-12/47";"PILATUS AIRCRAFT LTD."
"HB-FVC";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FVD";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FVG";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FVM";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FVO";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FVT";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FVW";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FVY";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FVZ";"PC-12/45";"PILATUS AIRCRAFT LTD."
"HB-FWA";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FWC";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FWE";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FWF";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FWG";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FWH";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FWI";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FWM";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FWT";"PC-12/47";"PILATUS AIRCRAFT LTD."
